match_id,innings,batting_team,batter,runs,balls_faced,fours,sixes,dot_balls,strike_rate,boundary_pct,dismissed
335982,1,Kolkata Knight Riders,BB McCullum,158,73,10,13,19,216.43835616438355,31.506849315068493,0
335982,1,Kolkata Knight Riders,DJ Hussey,12,12,1,0,4,100.0,8.333333333333334,1
335982,1,Kolkata Knight Riders,Mohammad Hafeez,5,3,1,0,1,166.66666666666666,33.333333333333336,0
335982,1,Kolkata Knight Riders,RT Ponting,20,20,1,1,9,100.0,10.0,1
335982,1,Kolkata Knight Riders,SC Ganguly,10,12,2,0,8,83.33333333333333,16.666666666666668,1
335982,2,Royal Challengers Bengaluru,AA Noffke,9,10,1,0,4,90.0,10.0,1
335982,2,Royal Challengers Bengaluru,B Akhil,0,2,0,0,2,0.0,0.0,1
335982,2,Royal Challengers Bengaluru,CL White,6,10,0,0,5,60.0,0.0,1
335982,2,Royal Challengers Bengaluru,JH Kallis,8,7,0,1,4,114.28571428571429,14.285714285714286,1
335982,2,Royal Challengers Bengaluru,MV Boucher,7,9,1,0,6,77.77777777777777,11.11111111111111,1
335982,2,Royal Challengers Bengaluru,P Kumar,18,15,1,2,10,120.0,20.0,0
335982,2,Royal Challengers Bengaluru,R Dravid,2,3,0,0,1,66.66666666666667,0.0,1
335982,2,Royal Challengers Bengaluru,SB Joshi,3,6,0,0,3,50.0,0.0,1
335982,2,Royal Challengers Bengaluru,V Kohli,1,5,0,0,4,20.0,0.0,1
335982,2,Royal Challengers Bengaluru,W Jaffer,6,16,0,0,11,37.5,0.0,1
335982,2,Royal Challengers Bengaluru,Z Khan,3,8,0,0,5,37.5,0.0,1
335983,1,Chennai Super Kings,JDP Oram,13,10,0,1,3,130.0,10.0,1
335983,1,Chennai Super Kings,MEK Hussey,116,54,8,9,13,214.8148148148148,31.48148148148148,0
335983,1,Chennai Super Kings,ML Hayden,25,17,4,1,9,147.05882352941177,29.41176470588235,1
335983,1,Chennai Super Kings,MS Dhoni,2,3,0,0,1,66.66666666666667,0.0,1
335983,1,Chennai Super Kings,PA Patel,15,10,3,0,5,150.0,30.0,1
335983,1,Chennai Super Kings,S Badrinath,31,14,3,2,2,221.42857142857142,35.714285714285715,0
335983,1,Chennai Super Kings,SK Raina,32,13,2,3,3,246.15384615384616,38.46153846153846,1
335983,2,Punjab Kings,IK Pathan,3,5,0,0,2,60.0,0.0,0
335983,2,Punjab Kings,JR Hopes,71,33,10,3,7,215.15151515151516,39.39393939393939,1
335983,2,Punjab Kings,K Goel,24,19,2,1,7,126.3157894736842,15.789473684210526,1
335983,2,Punjab Kings,KC Sangakkara,54,33,5,2,6,163.63636363636363,21.21212121212121,1
335983,2,Punjab Kings,SM Katich,21,17,0,1,4,123.52941176470588,5.882352941176471,0
335983,2,Punjab Kings,Yuvraj Singh,23,13,1,2,3,176.92307692307693,23.076923076923077,1
335984,1,Rajasthan Royals,D Salunkhe,26,20,4,0,7,130.0,20.0,0
335984,1,Rajasthan Royals,DS Lehmann,1,2,0,0,1,50.0,0.0,1
335984,1,Rajasthan Royals,M Kaif,9,19,0,0,11,47.36842105263158,0.0,1
335984,1,Rajasthan Royals,M Rawat,2,4,0,0,2,50.0,0.0,1
335984,1,Rajasthan Royals,RA Jadeja,29,23,2,2,10,126.08695652173913,17.391304347826086,1
335984,1,Rajasthan Royals,SK Trivedi,3,7,0,0,4,42.857142857142854,0.0,0
335984,1,Rajasthan Royals,SK Warne,14,13,2,0,6,107.6923076923077,15.384615384615385,1
335984,1,Rajasthan Royals,SR Watson,21,15,4,0,6,140.0,26.666666666666668,1
335984,1,Rajasthan Royals,T Kohli,7,12,0,1,10,58.333333333333336,8.333333333333334,1
335984,1,Rajasthan Royals,YK Pathan,10,5,2,0,1,200.0,40.0,1
335984,2,Delhi Capitals,G Gambhir,58,46,7,1,15,126.08695652173913,17.391304347826086,0
335984,2,Delhi Capitals,S Dhawan,52,41,8,0,15,126.82926829268293,19.51219512195122,0
335984,2,Delhi Capitals,V Sehwag,12,4,3,0,1,300.0,75.0,1
335985,1,Mumbai Indians,AM Nayar,20,14,1,1,3,142.85714285714286,14.285714285714286,1
335985,1,Mumbai Indians,DJ Thornely,0,5,0,0,5,0.0,0.0,1
335985,1,Mumbai Indians,Harbhajan Singh,2,2,0,0,0,100.0,0.0,0
335985,1,Mumbai Indians,L Ronchi,8,10,2,0,8,80.0,20.0,1
335985,1,Mumbai Indians,PR Shah,19,23,2,0,11,82.6086956521739,8.695652173913043,1
335985,1,Mumbai Indians,RV Uthappa,48,38,5,1,13,126.3157894736842,15.789473684210526,1
335985,1,Mumbai Indians,SM Pollock,28,12,3,2,3,233.33333333333334,41.666666666666664,1
335985,1,Mumbai Indians,ST Jayasuriya,29,16,5,1,7,181.25,37.5,1
