match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings1_runs,innings1_wickets,innings2_team,innings2_runs,innings2_wickets,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,match_number,event_name,match_type,overs,balls_per_over,data_version,toss_winner_is_team1,toss_bat_first,toss_winner_batted,run_rate_inn1,run_rate_inn2,sore_diff,target,team1_won,win_method,pp_runs_inn1,pp_wickets_inn1,pp_runs_inn2,pp_wickets_inn2,death_runs_inn1,death_wickets_inn1,death_runs_inn2,death_wickets_inn2,mid_runs_inn1,mid_wickets_inn1,mid_runs_inn2,mid_wickets_inn2,fours_inn1,sixes_inn1,dot_balls_inn1,fours_inn2,sixes_inn2,dot_balls_inn2,h2h_matches,h2h_team1_wins,h2h_team1_win_rate,team1_venue_win_rate,team2_venue_win_rate,team1_recent_form,team2_recent_form,team1_win_after_batting_first,team2_win_after_batting_first,team1_avg_pp_runs,team2_avg_pp_runs,team1_avg_death_wkts,team2_avg_death_wkts,is_home_team1,is_home_team2,season_year,season_match_number,season_progress,is_impact_player_era
335982,2007/08,2008-04-18,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,222,3,Royal Challengers Bengaluru,82.0,10.0,Kolkata Knight Riders,140.0,,BB McCullum,Asad Rauf,RE Koertzen,1.0,Indian Premier League,T20,20,6,1.0.0,1,0,1,11.1,4.1,140.0,223,0.0,runs,61,1,26.0,4.0,64.0,1.0,,,97.0,1.0,56.0,6.0,15,14,45,3.0,3.0,65.0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.0,45.0,2.0,2.0,1,0,2007.0,1,0.017241379310344827,0
335983,2007/08,2008-04-19,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,240,5,Punjab Kings,207.0,4.0,Chennai Super Kings,33.0,,MEK Hussey,MR Benson,SL Shastri,2.0,Indian Premier League,T20,20,6,1.0.0,0,1,1,12.0,10.35,33.0,241,0.0,runs,53,1,63.0,1.0,71.0,0.0,31.0,1.0,116.0,4.0,113.0,2.0,20,16,39,18.0,9.0,33.0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.0,45.0,2.0,2.0,1,0,2007.0,2,0.034482758620689655,0
335984,2007/08,2008-04-19,Arun Jaitley Stadium,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,129,8,Delhi Capitals,132.0,1.0,Delhi Capitals,,9.0,MF Maharoof,Aleem Dar,GA Pratapkumar,3.0,Indian Premier League,T20,20,6,1.0.0,0,1,1,6.45,6.6,-3.0,130,1.0,wickets,40,2,55.0,1.0,23.0,1.0,,,66.0,5.0,77.0,0.0,14,3,60,18.0,1.0,37.0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,45.0,45.0,2.0,2.0,1,0,2007.0,3,0.05172413793103448,0
335986,2007/08,2008-04-20,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,110,10,Kolkata Knight Riders,112.0,5.0,Kolkata Knight Riders,,5.0,DJ Hussey,BF Bowden,K Hariharan,4.0,Indian Premier League,T20,20,6,1.0.0,0,1,1,5.5,5.6,-2.0,111,1.0,wickets,39,2,26.0,3.0,28.0,4.0,25.0,1.0,43.0,4.0,61.0,1.0,6,6,72,5.0,4.0,75.0,0,0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,61.0,45.0,2.0,2.0,1,0,2007.0,4,0.06896551724137931,0
335985,2007/08,2008-04-20,Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,165,7,Royal Challengers Bengaluru,166.0,5.0,Royal Challengers Bengaluru,,5.0,MV Boucher,SJ Davis,DJ Harper,5.0,Indian Premier League,T20,20,6,1.0.0,1,1,1,8.25,8.3,-1.0,166,0.0,wickets,47,3,40.0,1.0,47.0,3.0,40.0,1.0,71.0,1.0,86.0,3.0,18,5,53,15.0,6.0,41.0,0,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,45.0,26.0,2.0,1.0,1,0,2007.0,5,0.08620689655172414,0
335987,2007/08,2008-04-21,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Punjab Kings,166,8,Rajasthan Royals,168.0,4.0,Rajasthan Royals,,6.0,SR Watson,Aleem Dar,RB Tiffin,6.0,Indian Premier League,T20,20,6,1.0.0,0,1,1,8.3,8.4,-2.0,167,1.0,wickets,54,1,53.0,3.0,38.0,4.0,16.0,0.0,74.0,3.0,99.0,1.0,18,7,57,17.0,7.0,57.0,0,0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,40.0,63.0,2.0,0.0,1,0,2007.0,6,0.10344827586206896,0
335988,2007/08,2008-04-22,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Deccan Chargers,142,8,Delhi Capitals,143.0,1.0,Delhi Capitals,,9.0,V Sehwag,IL Howell,AM Saheba,7.0,Indian Premier League,T20,20,6,1.0.0,1,1,1,7.1,7.15,-1.0,143,0.0,wickets,25,2,48.0,1.0,60.0,3.0,,,57.0,3.0,95.0,0.0,12,6,60,15.0,6.0,32.0,0,0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,39.0,55.0,1.0,1.0,1,0,2007.0,7,0.1206896551724138,0
335989,2007/08,2008-04-23,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,208,5,Mumbai Indians,202.0,7.0,Chennai Super Kings,6.0,,ML Hayden,DJ Harper,GA Pratapkumar,8.0,Indian Premier League,T20,20,6,1.0.0,0,0,1,10.4,10.1,6.0,209,1.0,runs,53,2,52.0,2.0,50.0,2.0,55.0,1.0,105.0,1.0,95.0,4.0,24,6,46,19.0,8.0,46.0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,53.0,47.0,1.0,1.0,1,0,2007.0,8,0.13793103448275862,0
335990,2007/08,2008-04-24,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Deccan Chargers,214,5,Rajasthan Royals,217.0,7.0,Rajasthan Royals,,3.0,YK Pathan,Asad Rauf,MR Benson,9.0,Indian Premier League,T20,20,6,1.0.0,0,0,1,10.7,10.85,-3.0,215,0.0,wickets,58,2,73.0,1.0,54.0,2.0,41.0,4.0,102.0,1.0,103.0,2.0,24,9,43,18.0,14.0,39.0,0,0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,32.0,46.5,1.0,4.0,1,0,2007.0,9,0.15517241379310345,0
335991,2007/08,2008-04-25,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,182,10,Mumbai Indians,116.0,9.0,Punjab Kings,66.0,,KC Sangakkara,Aleem Dar,AM Saheba,10.0,Indian Premier League,T20,20,6,1.0.0,0,0,1,9.1,5.8,66.0,183,1.0,runs,60,1,39.0,2.0,36.0,6.0,11.0,1.0,86.0,3.0,66.0,6.0,18,5,46,12.0,4.0,74.0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,58.5,49.5,0.0,1.5,1,0,2007.0,10,0.1724137931034483,0
