match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings1_runs,innings1_wickets,innings2_team,innings2_runs,innings2_wickets,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,match_number,event_name,match_type,overs,balls_per_over,data_version
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,207,4,Royal Challengers Bengaluru,172,10,Sunrisers Hyderabad,35,,Yuvraj Singh,AY Dandekar,NJ Llong,1,Indian Premier League,T20,20,6,1.0.0
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,field,Mumbai Indians,184,8,Rising Pune Supergiants,187,3,Rising Pune Supergiants,,7,SPD Smith,A Nand Kishore,S Ravi,2,Indian Premier League,T20,20,6,1.0.0
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Gujarat Lions,183,4,Kolkata Knight Riders,184,0,Kolkata Knight Riders,,10,CA Lynn,Nitin Menon,CK Nandan,3,Indian Premier League,T20,20,6,1.0.0
1082594,2017,2017-04-08,Holkar Cricket Stadium,Indore,Punjab Kings,Rising Pune Supergiants,Punjab Kings,field,Rising Pune Supergiants,163,6,Punjab Kings,164,4,Punjab Kings,,6,GJ Maxwell,AK Chaudhary,C Shamshuddin,4,Indian Premier League,T20,20,6,1.0.0
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,157,8,Delhi Capitals,142,9,Royal Challengers Bengaluru,15,,KM Jadhav,S Ravi,VK Sharma,5,Indian Premier League,T20,20,6,1.0.0
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Gujarat Lions,135,7,Sunrisers Hyderabad,140,1,Sunrisers Hyderabad,,9,Rashid Khan,A Deshmukh,NJ Llong,6,Indian Premier League,T20,20,6,1.0.0
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,178,7,Mumbai Indians,180,6,Mumbai Indians,,4,N Rana,Nitin Menon,CK Nandan,7,Indian Premier League,T20,20,6,1.0.0
1082598,2017,2017-04-10,Holkar Cricket Stadium,Indore,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,148,4,Punjab Kings,150,2,Punjab Kings,,8,AR Patel,AK Chaudhary,C Shamshuddin,8,Indian Premier League,T20,20,6,1.0.0
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,field,Delhi Capitals,205,4,Rising Pune Supergiants,108,10,Delhi Capitals,97,,SV Samson,AY Dandekar,S Ravi,9,Indian Premier League,T20,20,6,1.0.0
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,158,8,Mumbai Indians,159,6,Mumbai Indians,,4,JJ Bumrah,Nitin Menon,CK Nandan,10,Indian Premier League,T20,20,6,1.0.0
1082601,2017,2017-04-13,Eden Gardens,Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,170,9,Kolkata Knight Riders,171,2,Kolkata Knight Riders,,8,SP Narine,A Deshmukh,NJ Llong,11,Indian Premier League,T20,20,6,1.0.0
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,142,5,Mumbai Indians,145,6,Mumbai Indians,,4,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,12,Indian Premier League,T20,20,6,1.0.0
1082603,2017,2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,field,Rising Pune Supergiants,171,8,Gujarat Lions,172,3,Gujarat Lions,,7,AJ Tye,A Nand Kishore,S Ravi,13,Indian Premier League,T20,20,6,1.0.0
1082604,2017,2017-04-15,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,172,6,Sunrisers Hyderabad,155,6,Kolkata Knight Riders,17,,RV Uthappa,AY Dandekar,NJ Llong,14,Indian Premier League,T20,20,6,1.0.0
1082605,2017,2017-04-15,Feroz Shah Kotla,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,188,6,Punjab Kings,137,9,Delhi Capitals,51,,CJ Anderson,YC Barde,Nitin Menon,15,Indian Premier League,T20,20,6,1.0.0
1082606,2017,2017-04-16,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Gujarat Lions,176,4,Mumbai Indians,177,4,Mumbai Indians,,6,N Rana,A Nand Kishore,S Ravi,16,Indian Premier League,T20,20,6,1.0.0
1082607,2017,2017-04-16,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,field,Rising Pune Supergiants,161,8,Royal Challengers Bengaluru,134,9,Rising Pune Supergiants,27,,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,17,Indian Premier League,T20,20,6,1.0.0
1082608,2017,2017-04-17,Feroz Shah Kotla,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Delhi Capitals,168,7,Kolkata Knight Riders,169,6,Kolkata Knight Riders,,4,NM Coulter-Nile,Nitin Menon,CK Nandan,18,Indian Premier League,T20,20,6,1.0.0
1082609,2017,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,159,6,Punjab Kings,154,10,Sunrisers Hyderabad,5,,B Kumar,AY Dandekar,A Deshmukh,19,Indian Premier League,T20,20,6,1.0.0
1082610,2017,2017-04-18,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,field,Royal Challengers Bengaluru,213,2,Gujarat Lions,192,7,Royal Challengers Bengaluru,21,,CH Gayle,S Ravi,VK Sharma,20,Indian Premier League,T20,20,6,1.0.0
1082611,2017,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,191,4,Delhi Capitals,176,5,Sunrisers Hyderabad,15,,KS Williamson,CB Gaffaney,NJ Llong,21,Indian Premier League,T20,20,6,1.0.0
1082612,2017,2017-04-20,Holkar Cricket Stadium,Indore,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,198,4,Mumbai Indians,199,2,Mumbai Indians,,8,JC Buttler,M Erasmus,C Shamshuddin,22,Indian Premier League,T20,20,6,1.0.0
1082613,2017,2017-04-21,Eden Gardens,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Kolkata Knight Riders,187,5,Gujarat Lions,188,6,Gujarat Lions,,4,SK Raina,CB Gaffaney,Nitin Menon,23,Indian Premier League,T20,20,6,1.0.0
1082614,2017,2017-04-22,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,142,8,Delhi Capitals,128,7,Mumbai Indians,14,,MJ McClenaghan,A Nand Kishore,S Ravi,25,Indian Premier League,T20,20,6,1.0.0
1082615,2017,2017-04-22,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,field,Sunrisers Hyderabad,176,3,Rising Pune Supergiants,179,4,Rising Pune Supergiants,,6,MS Dhoni,AY Dandekar,A Deshmukh,24,Indian Premier League,T20,20,6,1.0.0
1082616,2017,2017-04-23,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,188,7,Gujarat Lions,162,7,Punjab Kings,26,,HM Amla,AK Chaudhary,M Erasmus,26,Indian Premier League,T20,20,6,1.0.0
1082617,2017,2017-04-23,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,131,10,Royal Challengers Bengaluru,49,10,Kolkata Knight Riders,82,,NM Coulter-Nile,CB Gaffaney,CK Nandan,27,Indian Premier League,T20,20,6,1.0.0
1082618,2017,2017-04-24,Wankhede Stadium,Mumbai,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,field,Rising Pune Supergiants,160,6,Mumbai Indians,157,8,Rising Pune Supergiants,3,,BA Stokes,A Nand Kishore,S Ravi,28,Indian Premier League,T20,20,6,1.0.0
1082620,2017,2017-04-26,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Rising Pune Supergiants,182,5,Kolkata Knight Riders,184,3,Kolkata Knight Riders,,7,RV Uthappa,AY Dandekar,NJ Llong,30,Indian Premier League,T20,20,6,1.0.0
1082621,2017,2017-04-27,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bengaluru,134,10,Gujarat Lions,135,3,Gujarat Lions,,7,AJ Tye,AK Chaudhary,C Shamshuddin,31,Indian Premier League,T20,20,6,1.0.0
1082622,2017,2017-04-28,Eden Gardens,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,160,6,Kolkata Knight Riders,161,3,Kolkata Knight Riders,,7,G Gambhir,NJ Llong,S Ravi,32,Indian Premier League,T20,20,6,1.0.0
